价格,网址,商品名称,裸机重量,厚度,屏幕尺寸,待机时长,商品产地,屏幕色域,系统,显存,内存,硬盘,显卡
7149.0,//item.jd.com/100012177988.html,机械革命深海泰坦X3,2-2.5kg,25.0mm以上,17.3英寸,小于5小时,中国大陆,72%NTSC,其他,6G,8G,512G SSD,RTX2060
18999.0,//item.jd.com/100010079898.html,AppleMacBook Pro 16,1.5-2kg,15.1mm—18.0mm,none,7-9小时,中国大陆,none,MAC,none,none,none,none
6299.0,//item.jd.com/100003395615.html,惠普暗影精灵GTX,2-2.5kg,20.0mm—25.0mm,15.6英寸,5-7小时,中国大陆,72%NTSC,windows 10 Office,4G,8G,512G SSD,GTX1650
5499.0,//item.jd.com/100012751534.html,小米RedmiBook 14,1-1.5KG,15.1mm—18.0mm,14-14.9英寸,7-9小时,中国大陆,none,Windows 10,2GB,16G,512G SSD,入门级游戏独立显卡
7799.0,//item.jd.com/60380476105.html,联想（Lenovo）拯救者Y7000,2-2.5kg,25.0mm以上,15.6英寸,7-9小时,中国大陆,none,windows 10 Office,6G,16G,512G SSD,其他
6099.0,//item.jd.com/100012885262.html,联想拯救者,2-2.5kg,25.0mm以上,15.6英寸,7-9小时,中国大陆,100%sRGB,windows 10 Office,4G,16G,512G SSD,GTX1650Ti
4799.0,//item.jd.com/100001762851.html,ThinkPad翼490,1.5-2kg,18.1mm—20.0mm,14-14.9英寸,5-7小时,中国大陆,none,Windows 10,none,8G,128G SSD+1T HDD,入门级游戏独立显卡
6399.0,//item.jd.com/100004311524.html,ThinkPadX,1-1.5KG,15.1mm—18.0mm,13-13.9英寸,9小时以上,中国大陆,none,Windows 10,none,8G,256G SSD,集成显卡
5599.0,//item.jd.com/100006546573.html,戴尔灵越5000,1.5-2kg,15.1mm—18.0mm,14-14.9英寸,5-7小时,中国大陆,none,Windows 10,2GB,8G,512G SSD,入门级游戏独立显卡
5999.0,//item.jd.com/100011177180.html,华为MateBook 13,1-1.5KG,15.0mm及以下,13-13.9英寸,＞12小时,中国大陆,none,Windows 10,2GB,16G,512G SSD,入门级游戏独立显卡
6999.0,//item.jd.com/100009430044.html,小米pro,1.5-2kg,15.1mm—18.0mm,none,7-9小时,中国大陆,none,Windows 10,2GB,16G,none,入门级游戏独立显卡
3599.0,//item.jd.com/100011513428.html,ThinkPadE495,1.5-2kg,18.1mm—20.0mm,14-14.9英寸,9小时以上,中国大陆,none,Windows 10,none,8G,256G SSD,集成显卡
4979.0,//item.jd.com/100009182968.html,机械革命深海幽灵Z2 Air,1.5-2kg,20.0mm以下,15.6英寸,小于5小时,中国大陆,72%NTSC,windows 10 Office,4G,8G,512G SSD,GTX1650
7199.0,//item.jd.com/100004915725.html,ThinkPad翼490,1.5-2kg,18.1mm—20.0mm,14-14.9英寸,5-7小时,中国大陆,none,Windows 10,2GB,16G,512G SSD,入门级游戏独立显卡
4299.0,//item.jd.com/100010824220.html,华为MateBook D,1.5-2kg,15.1mm—18.0mm,none,none,中国大陆,none,其他,none,16G,256G SSD+1T HDD,集成显卡
8099.0,//item.jd.com/100005606318.html,惠普暗影精灵RTX,2-2.5kg,20.0mm—25.0mm,15.6英寸,5-7小时,中国大陆,72%NTSC,windows 10 Office,6G,8G,512G SSD,RTX2060
8699.0,//item.jd.com/100009083152.html,联想拯救者,1.5-2kg,18.1mm—20.0mm,15-15.9英寸,7-9小时,中国大陆,none,Windows 10,none,16G,none,集成显卡
4299.0,//item.jd.com/100007934914.html,华为荣耀MagicBook,1.5-2kg,15.1mm—18.0mm,16英寸及以上,none,中国大陆,none,Windows 10,共享系统内存（集成）,8G,512G SSD,集成显卡
6999.0,//item.jd.com/100004311526.html,ThinkPadX,1-1.5KG,15.1mm—18.0mm,13-13.9英寸,9小时以上,中国大陆,none,Windows 10,none,8G,512G SSD,集成显卡
6399.0,//item.jd.com/100005772313.html,ThinkPadThinkBook,1.5-2kg,18.1mm—20.0mm,15-15.9英寸,none,中国大陆,none,Windows 10,none,16G,512G SSD,集成显卡
5699.0,//item.jd.com/100005886932.html,小米Air13,1-1.5KG,none,none,9小时以上,中国大陆,none,Windows 10,2GB,8G,512G SSD,入门级游戏独立显卡
8999.0,//item.jd.com/100012038814.html,华为MateBook X Pro,1-1.5KG,15.0mm及以下,13-13.9英寸,＞12小时,中国大陆,none,Windows 10,2GB,16G,512G SSD,入门级游戏独立显卡
4999.0,//item.jd.com/100006472357.html,联想威6系列,1-1.5KG,15.1mm—18.0mm,none,5-7小时,中国大陆,none,Windows 10,2GB,16G,512G SSD,入门级游戏独立显卡
4499.0,//item.jd.com/100012979450.html,宏碁传奇,none,15.1mm—18.0mm,14-14.9英寸,none,中国大陆,none,Windows 10,none,16G,512G SSD,集成显卡
11888.0,//item.jd.com/100009186338.html,微软Surface Pro 7,none,7.1mm-9mm,12.3英寸,none,中国大陆,none,windows,none,none,none,none
12999.0,//item.jd.com/100012038786.html,华为MateBook X Pro,1-1.5KG,none,none,＞12小时,中国大陆,none,Windows 10,2GB,16G,none,入门级游戏独立显卡
6999.0,//item.jd.com/100005625380.html,戴尔Ins 15-7591,1.5-2kg,18.1mm—20.0mm,15-15.9英寸,7-9小时,中国大陆,none,Windows 10,4GB,8G,512G SSD,入门级游戏独立显卡
3999.0,//item.jd.com/100003269299.html,惠普战66,1.5-2kg,15.1mm—18.0mm,none,9小时以上,中国大陆,none,Windows 10,共享系统内存（集成）,8G,512G SSD,集成显卡
4299.0,//item.jd.com/100003949311.html,惠普战66,2-2.5kg,18.1mm—20.0mm,none,9小时以上,中国大陆,none,Windows 10,共享系统内存（集成）,8G,512G SSD,集成显卡
5299.0,//item.jd.com/55983367371.html,联想（Lenovo）小新Air13,none,15.0mm及以下,none,none,中国大陆,none,Windows 10,共享系统内存（集成）,16G,512G SSD,none
5299.0,//item.jd.com/100009238742.html,惠普战66 Pro 15 G3,1.5-2kg,18.1mm—20.0mm,none,none,中国大陆,none,Windows 10,2GB,8G,512G SSD,入门级游戏独立显卡
6999.0,//item.jd.com/100012177992.html,机械革命机械革命,1.5-2kg,20.0mm—25.0mm,15.6英寸,小于5小时,中国大陆,45%NTSC,其他,6G,8G,512G SSD,RTX2060
13499.0,//item.jd.com/100005419419.html,戴尔XPS 13,1-1.5KG,15.0mm及以下,15-15.9英寸,9小时以上,中国大陆,none,Windows 10,共享系统内存（集成）,16G,none,集成显卡
7399.0,//item.jd.com/100005625392.html,戴尔Ins 15-7591,1.5-2kg,18.1mm—20.0mm,15-15.9英寸,7-9小时,中国大陆,none,Windows 10,3GB,8G,512G SSD,入门级游戏独立显卡
6599.0,//item.jd.com/100003406367.html,戴尔Ins 15-7591,1.5-2kg,18.1mm—20.0mm,15-15.9英寸,7-9小时,中国大陆,none,Windows 10,3GB,8G,512G SSD,入门级游戏独立显卡
4799.0,//item.jd.com/6072614.html,ThinkPad翼480,1.5-2kg,18.1mm—20.0mm,14-14.9英寸,5-7小时,中国大陆,none,Windows 10,none,8G,256G SSD,入门级游戏独立显卡
6099.0,//item.jd.com/100002391174.html,ThinkPad翼490,1.5-2kg,18.1mm—20.0mm,14-14.9英寸,5-7小时,中国大陆,none,Windows 10,none,8G,512G SSD,入门级游戏独立显卡
6999.0,//item.jd.com/100002844901.html,ThinkPadT,1-1.5KG,15.1mm—18.0mm,14-14.9英寸,5-7小时,中国大陆,none,Windows 10,none,8G,512G SSD,集成显卡
9499.0,//item.jd.com/100007151997.html,戴尔灵越7000,none,18.1mm—20.0mm,none,none,中国大陆,none,Windows 10,4GB,8G,512G SSD,入门级游戏独立显卡
9999.0,//item.jd.com/100011979220.html,AppleMacBook Air,none,none,none,none,中国大陆,none,MAC,none,8G,512G SSD,none
7999.0,//item.jd.com/100003150685.html,联想拯救者,2-2.5kg,20.0mm—25.0mm,15.6英寸,小于5小时,中国大陆,none,windows 10 Office,4G,8G,none,GTX1650
3899.0,//item.jd.com/100006619423.html,华硕FL8700,1.5-2kg,18.1mm—20.0mm,15-15.9英寸,5-7小时,中国大陆,none,Windows 10,none,8G,512G SSD,集成显卡
12999.0,//item.jd.com/100003557929.html,外星人ALW15M,2-2.5kg,20.0mm—25.0mm,15.6英寸,小于5小时,中国大陆,none,windows 10 Office,6G,16G,256G SSD+1T HDD,GTX1660Ti
3999.0,//item.jd.com/100010826856.html,华为MateBook D,1-1.5KG,15.1mm—18.0mm,none,none,中国大陆,none,Windows 10,none,8G,512G SSD,集成显卡
15999.0,//item.jd.com/100013068436.html,AppleMacBook Pro,none,15.1mm—18.0mm,13-13.9英寸,none,中国大陆,none,MAC,none,16G,none,其他
7999.0,//item.jd.com/100011979218.html,AppleMacBook Air,none,none,none,none,中国大陆,none,MAC,none,8G,256G SSD,none
4299.0,//item.jd.com/100005224917.html,小米小米笔记本,1-1.5KG,15.1mm—18.0mm,none,7-9小时,中国大陆,none,Windows 10,共享系统内存（集成）,16G,512G SSD,集成显卡
15999.0,//item.jd.com/100013072816.html,惠普暗影精灵RTX,2-2.5kg,20.0mm—25.0mm,15.6英寸,5-7小时,中国大陆,100%sRGB,windows 10 Office,8G,16G,none,RTX Super MaxQ
4699.0,//item.jd.com/100012595584.html,华硕Vivobook 系列,none,15.1mm—18.0mm,14-14.9英寸,none,中国大陆,none,Windows 10,2GB,8G,512G SSD,MX330
10999.0,//item.jd.com/100004442453.html,联想Yoga,1-1.5KG,15.0mm及以下,14-14.9英寸,none,中国大陆,none,Windows 10,none,16G,none,集成显卡
9899.0,//item.jd.com/100008602068.html,戴尔G3,2-2.5kg,20.0mm—25.0mm,15.6英寸,9小时以上,中国大陆,none,windows 10 Office,6G,16G,none,RTX2060
9499.0,//item.jd.com/100003898883.html,ThinkPadX1 Carbon,1-1.5KG,15.0mm及以下,14-14.9英寸,9小时以上,中国大陆,none,Windows 10,none,8G,512G SSD,集成显卡
4499.0,//item.jd.com/100013119078.html,华硕Vivobook 系列,1.5-2kg,15.1mm—18.0mm,15-15.9英寸,5-7小时,中国大陆,none,Windows 10,2GB,8G,512G SSD,入门级游戏独立显卡
5799.0,//item.jd.com/100005011386.html,华硕飞行堡垒7,2-2.5kg,25.0mm以上,15.6英寸,小于5小时,中国大陆,none,windows 10 不带Office,4G,8G,512G SSD,GTX1650
6199.0,//item.jd.com/100013066160.html,华硕飞行堡垒8,2-2.5kg,20.0mm—25.0mm,15.6英寸,小于5小时,中国大陆,none,windows 10 不带Office,4G,8G,512G SSD,GTX1650Ti
5689.0,//item.jd.com/100003052761.html,机械革命深海幽灵Z2 Air,1.5-2kg,20.0mm以下,15.6英寸,小于5小时,中国大陆,72%NTSC,windows 10 Office,4G,8G,512G SSD,GTX1650
5299.0,//item.jd.com/100011213616.html,ThinkPadE490,1.5-2kg,18.1mm—20.0mm,14-14.9英寸,5-7小时,中国大陆,none,Windows 10,none,8G,512G SSD,AMD RX系列
5499.0,//item.jd.com/100003395617.html,惠普暗影精灵GTX,2-2.5kg,20.0mm—25.0mm,15.6英寸,5-7小时,中国大陆,45%NTSC,windows 10 Office,4G,8G,512G SSD,GTX1050
5499.0,//item.jd.com/100006863273.html,惠普星14,1.5-2kg,15.1mm—18.0mm,14-14.9英寸,none,中国大陆,none,Windows 10,2GB,16G,512G SSD,MX330
10599.0,//item.jd.com/100008492950.html,雷蛇灵刃15标准版,2-2.5kg,20.0mm以下,15.6英寸,5-7小时,中国大陆,100%sRGB,windows 10 不带Office,6G,16G,256G SSD+1T HDD,GTX1660Ti
9999.0,//item.jd.com/100012177978.html,机械革命机械革命,2.5kg以上,25.0mm以上,17.3英寸,小于5小时,中国大陆,72%NTSC,其他,8G,16G,512G SSD+1T HDD,RTX2070
5199.0,//item.jd.com/100006619345.html,华硕a豆,1-1.5KG,15.0mm及以下,14-14.9英寸,＞12小时,中国大陆,none,Windows 10,none,8G,512G SSD,MX250
8499.0,//item.jd.com/63773446765.html,ThinkPadThinkPad X1 Carbon 2019,1-1.5KG,15.0mm及以下,none,5-7小时,none,none,Windows 10,共享系统内存（集成）,none,none,集成显卡
4099.0,//item.jd.com/100004770245.html,宏碁EX215,1.5-2kg,18.1mm—20.0mm,15-15.9英寸,none,中国大陆,none,Windows 10,none,8G,512G SSD,MX230
7499.0,//item.jd.com/100001656131.html,AppleMacBook Air,1-1.5KG,none,none,9小时以上,中国大陆,none,MAC,none,none,none,集成显卡
9699.0,//item.jd.com/100003688077.html,联想拯救者Y7000P,2-2.5kg,20.0mm—25.0mm,15.6英寸,小于5小时,中国大陆,72%NTSC,windows 10 Office,6G,16G,none,GTX1660Ti
12999.0,//item.jd.com/100012177980.html,机械革命机械革命,2.5kg以上,25.0mm以上,17.3英寸,小于5小时,中国大陆,72%NTSC,其他,8G,32G,none,其他
5099.0,//item.jd.com/100008961702.html,戴尔成就13,1-1.5KG,none,none,9小时以上,中国大陆,none,Windows 10,2GB,8G,512G SSD,入门级游戏独立显卡
7299.0,//item.jd.com/100010342228.html,惠普战66 Pro 15 G3,1.5-2kg,18.1mm—20.0mm,none,none,中国大陆,none,Windows 10,2GB,16G,none,入门级游戏独立显卡
11499.0,//item.jd.com/100007136955.html,AppleMacBook Pro,none,15.1mm—18.0mm,13-13.9英寸,none,中国大陆,none,MAC,none,8G,512G SSD,其他
5499.0,//item.jd.com/100005188045.html,联想威6系列,1-1.5KG,15.1mm—18.0mm,14-14.9英寸,5-7小时,中国大陆,none,Windows 10,2GB,8G,512G SSD,入门级游戏独立显卡
4299.0,//item.jd.com/100003546759.html,联想威6系列,1-1.5KG,15.1mm—18.0mm,14-14.9英寸,9小时以上,中国大陆,none,Windows 10,2GB,8G,256G SSD,入门级游戏独立显卡
14469.0,//item.jd.com/100005523703.html,ROG枪神3,2-2.5kg,20.0mm—25.0mm,15.6英寸,小于5小时,中国大陆,none,windows 10 不带Office,6G,16G,none,RTX2060
4999.0,//item.jd.com/100011384574.html,宏碁蜂鸟SF313,none,15.1mm—18.0mm,13-13.9英寸,7-9小时,中国大陆,none,Windows 10,none,16G,512G SSD,集成显卡
6299.0,//item.jd.com/100005171159.html,联想Yoga,1-1.5KG,15.1mm—18.0mm,14-14.9英寸,＞12小时,中国大陆,none,Windows 10,none,16G,512G SSD,集成显卡
3399.0,//item.jd.com/100011088800.html,机械革命S1,1-1.5KG,15.1mm—18.0mm,14-14.9英寸,小于5小时,中国大陆,none,Windows 10,共享系统内存（集成）,8G,512G SSD,集成显卡
5399.0,//item.jd.com/100012558282.html,机械革命机械革命,1.5-2kg,18.1mm—20.0mm,14-14.9英寸,7-9小时,中国大陆,其他,Windows 10,2GB,16G,512G SSD,入门级游戏独立显卡
4399.0,//item.jd.com/100006842477.html,华硕FL8700,1.5-2kg,18.1mm—20.0mm,15-15.9英寸,小于5小时,中国大陆,none,Windows 10,none,8G,256G SSD,入门级游戏独立显卡
3999.0,//item.jd.com/100011871798.html,ThinkPadE480,1.5-2kg,18.1mm—20.0mm,14-14.9英寸,5-7小时,中国大陆,none,Windows 10,none,4G,256G SSD,集成显卡
6499.0,//item.jd.com/100010903936.html,华为MateBook D,none,none,none,none,中国大陆,none,Windows 10,none,none,none,入门级游戏独立显卡
3999.0,//item.jd.com/100004286189.html,联想小新Air,1-1.5KG,15.1mm—18.0mm,14-14.9英寸,7-9小时,中国大陆,其他,Windows 10,共享系统内存（集成）,12G,512G SSD,集成显卡
7999.0,//item.jd.com/100005550829.html,ThinkPadX,1-1.5KG,15.1mm—18.0mm,13-13.9英寸,9小时以上,中国大陆,none,Windows 10,none,8G,512G SSD,集成显卡
3699.0,//item.jd.com/100006706156.html,惠普战66,1.5-2kg,15.1mm—18.0mm,none,9小时以上,中国大陆,none,Windows 10,共享系统内存（集成）,8G,512G SSD,集成显卡
4499.0,//item.jd.com/100007317098.html,ThinkPadX,1-1.5KG,15.1mm—18.0mm,13-13.9英寸,9小时以上,中国大陆,none,Windows 10,none,8G,256G SSD,集成显卡
